,Y_validation,date,lpred
0,56.58,2012-10-04,56.38038483335154
1,57.95,2012-10-05,57.97373276489048
2,47.87,2012-10-08,47.67892741803483
3,32.2,2012-10-09,32.277047296000035
4,91.06,2012-10-10,90.8727962051039
5,34.35,2012-10-11,34.22822678139764
6,24.49,2012-10-12,24.593642454070523
7,90.69,2012-10-15,91.09287391666342
8,25.76,2012-10-16,25.661503618760126
9,19.75,2012-10-17,19.747011669993412
10,90.12,2012-10-18,90.17632608097293
11,56.21,2012-10-19,56.11815272207908
12,30.79,2012-10-22,30.67667689504478
13,107.19,2012-10-23,108.26039304464918
14,20.61,2012-10-24,20.48372317047731
15,45.67,2012-10-25,46.76422068162195
16,27.4,2012-10-26,27.452467001986367
17,102.49,2012-10-31,102.23097485967186
18,25.21,2012-11-01,25.204277165959926
19,179.94,2012-11-02,178.44530661365113
20,59.08,2012-11-05,59.96106873596091
21,29.4525,2012-11-06,29.468229312155824
22,27.16,2012-11-07,27.142866010900256
23,58.12,2012-11-08,58.419176328301354
24,25.23,2012-11-09,25.409484594105972
25,85.5,2012-11-12,85.64675593471742
26,85.87,2012-11-13,87.00722721958894
27,26.71,2012-11-14,26.52948165425724
28,64.93,2012-11-15,64.99636141680443
29,88.25,2012-11-16,88.60844042387569
30,20.76,2012-11-19,20.818231045559173
31,63.52,2012-11-20,63.474942414399685
32,24.47,2012-11-21,24.35399671375691
33,89.81,2012-11-23,89.3207185411897
34,26.71,2012-11-26,26.547660162277054
35,24.46,2012-11-27,24.39875134063564
36,32.89,2012-11-28,32.7492844279797
37,25.15,2012-11-29,25.12232784714503
38,141.75,2012-11-30,142.31264606064533
39,25.53,2012-12-03,25.616074923850185
40,26.5,2012-12-04,26.461103999683676
41,26.68,2012-12-05,26.613055225562317
42,53.99,2012-12-06,53.83073940780193
43,29.16,2012-12-07,29.069916369579484
44,29.86,2012-12-10,29.872324310740545
45,20.45,2012-12-11,20.324654040904257
46,27.07,2012-12-12,27.088487349724048
47,48.94,2012-12-13,47.725792248216436
48,72.31,2012-12-14,72.56531672795484
49,27.91,2012-12-17,27.75394894584873
50,25.1,2012-12-18,25.035159627321047
51,42.14,2012-12-19,42.27082935682081
52,30.95,2012-12-20,30.799306028511733
53,45.35,2012-12-21,45.10015553949591
54,23.692,2012-12-24,23.634672528016793
55,27.15,2012-12-26,27.19665898025691
56,29.54,2012-12-27,29.58018204540336
57,31.79,2012-12-28,31.592623777893852
58,51.94,2012-12-31,52.42414236953207
59,24.57,2013-01-02,24.658304311808763
60,26.95,2013-01-03,26.961723267576122
61,28.01,2013-01-04,28.272607697255467
62,85.95,2013-01-07,85.85419157673996
63,26.1,2013-01-08,26.387507576952583
64,69.75,2013-01-09,68.89446081654216
65,17.63,2013-01-10,17.626882329428767
66,19.26,2013-01-11,18.86569648971225
67,62.2,2013-01-14,63.23744012242232
68,60.38,2013-01-15,59.81550733480026
69,20.6,2013-01-16,20.432101497213488
70,64.77,2013-01-17,65.01856045094544
71,70.1,2013-01-18,69.95196589640437
72,28.3,2013-01-22,28.148109964464783
73,72.56,2013-01-23,72.16342090641
74,50.07,2013-01-24,50.18582087063739
75,64.99,2013-01-25,64.98284587092186
76,28.09,2013-01-28,28.15089555829271
77,26.2,2013-01-29,26.322971659394693
78,52.01,2013-01-30,51.46781910352783
79,69.55,2013-01-31,69.37421264611535
80,20.49,2013-02-01,20.48839507810918
81,108.29,2013-02-04,108.42614056276705
82,26.82,2013-02-05,27.226022156735887
83,68.9,2013-02-06,69.36100193395201
84,40.34,2013-02-07,40.3500026019619
85,41.67,2013-02-08,41.62823252735687
86,30.28,2013-02-11,30.12794408621499
87,31.003,2013-02-12,31.116766264973702
88,24.47,2013-02-13,24.546011961724663
89,25.89,2013-02-14,26.006098649067905
90,93.77,2013-02-15,94.65356780993525
91,57.67,2013-02-19,57.92612039765535
92,47.27,2013-02-20,47.23009436751326
93,29.94,2013-02-21,29.856118523542545
94,25.79,2013-02-22,25.75374051684278
95,77.56,2013-02-25,77.74126721860766
96,28.01,2013-02-26,27.880988213503223
97,30.9,2013-02-27,31.008750914772165
98,46.44,2013-02-28,46.44474595704993
99,90.19,2013-03-01,89.03909270442574
100,24.07,2013-03-04,24.03452963496149
101,27.65,2013-03-05,27.62900969068097
102,26.04,2013-03-06,26.155524228648975
103,29.2285,2013-03-07,29.217317760597766
104,52.66,2013-03-08,53.09226198034933
105,29.19,2013-03-11,29.25868092765885
106,25.51,2013-03-12,25.43466449270302
107,33.16,2013-03-13,32.872611269458105
108,50.54,2013-03-14,50.490806337343145
109,100.19,2013-03-15,100.4737969476509
110,31.76,2013-03-18,31.670055922136584
111,32.74,2013-03-19,32.86466385426165
112,55.19,2013-03-20,54.70118005364082
113,29.6,2013-03-21,29.401773036249995
114,26.69,2013-03-22,26.737018545846045
115,28.17,2013-03-25,28.211544133533405
116,92.44,2013-03-26,92.6488065479196
117,36.52,2013-03-27,36.57385636089584
118,26.44,2013-03-28,26.32185903192298
119,94.06,2013-04-01,93.53812879683704
120,25.55,2013-04-02,25.641534762192517
121,50.38,2013-04-03,50.46302067882139
122,92.33,2013-04-04,91.80947115598335
123,67.83,2013-04-05,67.95324649507256
124,26.7277,2013-04-08,26.51401607912399
125,46.84,2013-04-09,46.4916141493467
126,22.56,2013-04-10,22.674000535470718
127,49.87,2013-04-11,49.741346310832434
128,26.07,2013-04-12,26.01603939857686
129,27.15,2013-04-15,27.167616687856906
130,26.98,2013-04-16,27.131753281622306
131,51.84,2013-04-17,51.64542812441252
132,52.07,2013-04-18,51.381537160558345
133,28.33,2013-04-19,28.299358390769093
134,28.83,2013-04-22,28.685142558340107
135,57.25,2013-04-23,57.44273637509329
136,26.99,2013-04-24,26.609221628465587
137,54.65,2013-04-25,54.23024677766429
138,112.09,2013-04-26,111.56191211506689
139,28.07,2013-04-29,28.002134179146314
140,34.39,2013-04-30,34.56173960415357
141,32.6,2013-05-01,32.4356700891864
142,31.82,2013-05-02,31.82827079855336
143,23.01,2013-05-03,23.6174398717624
144,27.34,2013-05-06,27.39060473830748
145,35.525,2013-05-07,35.45915966359355
146,25.65,2013-05-08,25.96890353776319
147,67.09,2013-05-09,66.90617136173475
148,53.87,2013-05-10,51.40401110888155
149,27.76,2013-05-13,27.568187366714753
150,24.49,2013-05-14,24.575005354309482
151,64.06,2013-05-15,64.15104593547838
152,116.75,2013-05-16,116.31378885306123
153,29.46,2013-05-17,29.40799964352444
154,28.97,2013-05-20,29.007435782267258
155,47.81,2013-05-21,47.88885437633337
156,38.15,2013-05-22,38.02699339687496
157,43.99,2013-05-23,44.891316344791726
158,69.23,2013-05-24,68.87997660573377
159,28.25,2013-05-28,28.33881435800527
160,27.51,2013-05-29,27.38973400148905
161,51.22,2013-05-30,51.36402856992098
162,60.43,2013-05-31,60.398889747436
163,24.98,2013-06-03,25.04596414480531
164,34.9,2013-06-04,35.176512205116865
165,37.4,2013-06-05,37.47667252265507
166,28.8,2013-06-06,28.99279804273637
167,26.6607,2013-06-07,26.730728146626692
168,103.44,2013-06-10,103.5050238399464
169,62.84,2013-06-11,62.82509399835397
170,34.75,2013-06-12,34.219761211155856
171,27.07,2013-06-13,27.049477018344856
172,18.09,2013-06-14,17.97664224885949
173,26.05,2013-06-17,25.893804536055555
174,34.47,2013-06-18,34.43615496865864
175,27.63,2013-06-19,27.80338696868097
176,27.62,2013-06-20,27.450909323897964
177,40.655,2013-06-21,40.798342635758914
178,32.791,2013-06-24,32.869965825680076
179,24.41,2013-06-25,24.383528144476713
180,25.78,2013-06-26,26.072837124541145
181,30.17,2013-06-27,30.296330310533403
182,27.9025,2013-06-28,27.916786062790294
183,89.13,2013-07-01,88.96581220815801
184,28.43,2013-07-02,28.22495202926376
185,35.94,2013-07-03,35.87712419436261
186,58.06,2013-07-05,57.71527963793119
187,73.05,2013-07-08,72.8994588900155
188,25.89,2013-07-09,25.946980072831057
189,28.71,2013-07-10,28.727641004701095
190,53.765,2013-07-11,53.582723799558096
191,24.64,2013-07-12,24.54556869244064
192,42.9,2013-07-15,43.09544991093
193,30.52,2013-07-16,30.72195730595743
194,24.32,2013-07-17,24.386255303785415
195,50.06,2013-07-18,51.000054141567084
196,26.57,2013-07-19,26.636270436527003
197,47.2,2013-07-22,47.3223117743132
198,64.71,2013-07-23,64.8511707181292
199,67.9,2013-07-24,67.62717311755173
200,104.31,2013-07-25,103.78982663153421
201,51.38,2013-07-26,51.10379060849738
202,160.63,2013-07-29,162.77529248766652
203,83.81,2013-07-30,83.90718145232799
204,46.52,2013-07-31,46.61098396025326
205,26.12,2013-08-01,25.946982329982056
206,108.37,2013-08-02,107.54687888468193
207,23.53,2013-08-05,23.320737159958995
208,41.01,2013-08-06,40.822506738320726
209,49.06,2013-08-07,49.04413906290376
210,32.2,2013-08-08,32.20650447943412
211,26.28,2013-08-09,26.101351644444957
212,92.69,2013-08-12,92.43000852389301
213,42.74,2013-08-13,42.74488319036548
214,109.25,2013-08-14,110.77162951191413
215,46.695,2013-08-15,46.76985789053856
216,50.94,2013-08-16,50.75769351365944
217,48.58,2013-08-19,49.527852446600775
218,25.34,2013-08-20,25.320989174659466
219,26.91,2013-08-21,26.761594179018218
220,24.89,2013-08-22,24.70001742071938
221,30.2,2013-08-23,30.122903000318175
222,29.66,2013-08-26,29.753348000454167
223,51.62,2013-08-27,51.609601549710575
224,86.0,2013-08-28,85.00502732089753
225,64.64,2013-08-29,64.44077299873285
226,24.7,2013-08-30,24.65448362319196
227,79.69,2013-09-03,79.08918185416255
228,27.87,2013-09-04,28.143752531845305
229,24.86,2013-09-05,25.012143918464517
230,89.6,2013-09-06,89.48776165272585
231,47.2,2013-09-09,47.55911893053885
232,30.45,2013-09-10,30.418641573319825
233,105.87,2013-09-11,105.60990120046876
234,30.87,2013-09-12,30.833388470387302
235,106.0,2013-09-13,106.7068769481906
236,50.91,2013-09-16,51.64795867110859
237,34.96,2013-09-17,34.55077253595164
238,63.0,2013-09-18,62.87188070660035
239,78.86,2013-09-19,78.86946456804031
240,47.46,2013-09-20,47.641299513825615
241,29.5599,2013-09-23,29.455248068961108
242,31.16,2013-09-24,30.896824364664926
243,25.73,2013-09-25,25.528499526861236
244,61.5,2013-09-26,60.9165496883224
245,28.59,2013-09-27,28.610102115094158
246,72.49,2013-09-30,72.53501548524167
247,18.61,2013-10-01,18.6581486293369
248,64.27,2013-10-02,64.04031574819214
249,28.98,2013-10-03,29.111834101837196
250,116.75,2013-10-04,116.82649942482907
251,92.56,2013-10-07,93.61564993895487
252,25.0,2013-10-08,24.865520611836082
253,35.6,2013-10-09,35.65954843449637
254,59.88,2013-10-10,59.4921372026228
255,49.91,2013-10-11,49.14854390621691
256,26.58,2013-10-14,26.67034855053718
257,77.19,2013-10-15,77.8963537910249
258,91.44,2013-10-16,91.8964013309414
259,32.66,2013-10-17,32.75731011411228
260,64.73,2013-10-18,64.66052171584936
261,79.44,2013-10-21,80.19040696660443
262,27.34,2013-10-22,27.132940912330817
263,27.7,2013-10-23,27.67857518049837
264,30.17,2013-10-24,30.261124749947545
265,55.0,2013-10-25,54.68794212122022
266,45.17,2013-10-28,45.1547496013935
267,114.37,2013-10-29,114.23102712869455
268,27.31,2013-10-30,27.343733752199906
269,32.505,2013-10-31,32.667244877039856
270,28.32,2013-11-01,28.515986814750292
271,87.87,2013-11-04,86.17875206087558
272,66.19,2013-11-05,66.29314444732454
273,29.755,2013-11-06,29.51677839008661
274,29.47,2013-11-07,29.221970021670906
275,20.34,2013-11-08,20.17422987306143
276,26.37,2013-11-11,26.399929805588336
277,52.05,2013-11-12,51.479109709819205
278,31.88,2013-11-13,31.65375583180491
279,58.02,2013-11-14,58.05401215001253
280,27.88,2013-11-15,27.945853741860994
281,26.63,2013-11-18,26.804902748715463
282,51.03,2013-11-19,50.967993631536466
283,27.26,2013-11-20,26.917514936025544
